Страна,год,Категория продуктов питания,Общее_количество_отходов_(тонн),Экономический ущерб (Млн долларов),Среднее количество отходов на душу населения (Кг),Численность населения (Млн),Бытовые отходы (%)
argentina,2018,beverage,17225.92,18968.16,147.84,1125.66,31.05
japan,2022,meat seafood,16387.81,14306.93,22.2,33.72,40.81
usa,2023,fruit vegetable,28884.65,26367.11,172.06,1203.82,59.63
germany,2018,prepared food,27961.92,27791.24,139.08,83.26,48.4
canada,2019,dairy product,45120.71,53691.77,131.81,239.8,67.06
japan,2023,grain cereal,41698.0,41346.57,108.68,1210.31,43.94
turkey,2018,fruit vegetable,34145.08,30152.14,110.4,714.68,34.32
south korea,2022,dairy product,23221.41,21893.64,50.27,1273.04,43.9
saudi arabia,2018,prepared food,20601.02,19292.85,70.83,602.84,64.64
russia,2020,bakery item,8157.8,9049.45,54.46,575.05,55.26
china,2021,meat seafood,44891.73,52505.01,78.43,726.44,68.24
japan,2020,frozen food,11388.23,9140.67,57.09,1116.81,30.53
turkey,2021,grain cereal,25994.94,22461.46,100.81,900.11,68.81
mexico,2018,bakery item,42462.31,39464.44,124.4,405.19,68.51
italy,2022,grain cereal,47045.88,46778.65,183.74,876.35,45.62
argentina,2024,beverage,18433.58,16555.94,23.24,506.24,34.41
south korea,2022,prepared food,12137.82,10808.48,85.69,327.26,50.77
brazil,2020,frozen food,13477.87,13426.9,62.12,1358.48,66.57
uk,2018,meat seafood,27877.69,28368.73,65.36,559.08,59.09
germany,2019,dairy product,21550.1,22964.51,134.6,662.02,36.95
india,2019,meat seafood,10832.48,9830.62,192.87,182.16,67.12
brazil,2019,fruit vegetable,18243.11,19669.21,105.09,393.87,34.53
spain,2018,bakery item,11221.17,12680.49,41.46,612.41,54.41
italy,2019,beverage,3863.14,4536.9,198.83,1205.13,31.31
japan,2021,fruit vegetable,27487.74,24145.15,27.92,294.6,43.14
saudi arabia,2019,meat seafood,23695.07,28245.8,121.78,1174.59,55.98
canada,2022,bakery item,46897.32,39414.29,24.22,826.28,61.51
south africa,2021,beverage,48311.98,40962.23,199.67,338.1,38.75
china,2022,beverage,45817.97,39883.48,109.08,575.72,65.44
australia,2021,meat seafood,8774.84,8371.99,20.6,852.27,62.58
argentina,2018,dairy product,27037.05,23899.81,101.76,1355.71,42.03
france,2021,frozen food,19987.91,21424.54,124.66,427.57,32.96
germany,2021,meat seafood,6340.93,6789.48,42.8,1120.36,37.17
mexico,2022,prepared food,45332.39,51674.39,91.59,416.18,65.91
china,2022,fruit vegetable,11786.75,10759.21,182.31,252.68,50.89
italy,2022,fruit vegetable,3467.04,3261.48,130.76,1018.38,52.19
brazil,2024,grain cereal,3817.6,3619.06,64.58,47.81,54.35
south africa,2019,grain cereal,34379.11,32232.25,21.1,1208.76,60.21
china,2022,beverage,28296.54,30760.33,158.78,1291.92,46.61
turkey,2018,dairy product,13224.16,14470.86,82.84,398.92,67.55
japan,2023,frozen food,8938.91,10254.62,55.76,101.15,36.33
china,2018,prepared food,29265.36,31030.53,142.23,1076.57,65.56
france,2018,beverage,11837.81,10531.84,153.25,1234.73,49.09
brazil,2018,prepared food,22276.77,20697.1,88.31,574.44,62.44
saudi arabia,2023,beverage,29763.43,24929.14,113.06,789.98,54.73
brazil,2021,fruit vegetable,9588.99,10861.21,161.64,578.7,31.72
china,2019,grain cereal,38148.21,42814.54,25.12,814.34,68.71
brazil,2020,grain cereal,27563.67,25000.35,44.93,1220.72,61.12
russia,2021,dairy product,6822.03,6887.37,98.29,813.89,41.64
saudi arabia,2021,fruit vegetable,39289.23,39649.34,151.2,643.6,54.15
france,2021,grain cereal,33164.04,37827.73,87.06,333.54,32.26
indonesia,2023,beverage,16345.31,17255.24,78.52,1331.88,44.28
australia,2024,prepared food,44030.37,39398.75,158.36,114.04,33.83
india,2022,dairy product,4778.72,4000.5,43.61,1068.43,35.34
russia,2022,fruit vegetable,9273.87,8570.01,126.89,1303.12,68.1
brazil,2020,bakery item,49248.91,39514.66,147.31,1261.9,57.8
south korea,2021,fruit vegetable,21044.56,22873.72,124.64,1195.07,42.36
argentina,2020,fruit vegetable,36545.13,30329.31,165.38,623.0,60.37
italy,2024,prepared food,4938.5,5830.95,115.81,986.02,58.81
south africa,2023,bakery item,21189.69,18966.1,27.27,268.98,67.19
germany,2020,bakery item,9042.08,7618.65,116.09,898.47,34.61
south africa,2022,beverage,29805.05,26847.65,183.1,841.8,61.84
south africa,2021,beverage,13540.98,10985.73,100.47,855.69,40.63
saudi arabia,2024,meat seafood,751.55,823.84,71.55,929.16,64.7
germany,2021,grain cereal,46551.27,42887.47,123.03,677.28,41.84
india,2019,frozen food,44310.38,46300.1,119.33,216.07,67.78
saudi arabia,2021,dairy product,49819.32,50353.32,196.66,183.51,65.48
south korea,2018,frozen food,8850.77,7405.28,48.77,896.77,49.14
canada,2021,prepared food,38319.92,37880.05,96.29,1017.31,31.16
usa,2020,fruit vegetable,3999.37,3375.45,21.06,13.14,59.41
uk,2018,grain cereal,9691.17,7984.54,35.88,292.95,36.77
china,2024,frozen food,10652.69,9244.8,112.05,96.41,44.27
china,2021,dairy product,34265.92,31364.25,112.63,1041.26,67.67
argentina,2024,dairy product,8610.42,9827.8,157.57,366.84,63.26
germany,2018,beverage,39520.89,33047.05,172.6,678.77,32.64
germany,2018,bakery item,15274.37,17979.41,163.57,564.62,34.9
south africa,2019,fruit vegetable,12761.35,11297.73,194.77,737.7,63.48
brazil,2018,beverage,49934.82,52807.92,51.29,364.97,63.17
south korea,2018,grain cereal,4047.71,4620.16,139.88,131.85,34.64
usa,2022,bakery item,47969.67,55274.78,25.01,111.06,55.71
brazil,2020,grain cereal,13808.12,12769.22,55.18,552.17,38.28
uk,2021,frozen food,15506.25,12854.06,167.68,1178.21,66.08
russia,2020,meat seafood,29743.58,35585.61,100.85,796.19,38.05
france,2021,fruit vegetable,32411.82,28960.32,47.91,693.75,68.1
spain,2020,beverage,42800.89,44656.16,143.31,966.42,43.15
argentina,2019,prepared food,38805.57,38358.71,131.65,620.07,54.5
mexico,2020,beverage,45410.12,42233.39,24.64,1357.61,60.57
spain,2022,frozen food,19381.72,22132.49,35.49,1398.58,46.16
china,2020,prepared food,16933.0,19088.87,80.63,1100.34,48.19
russia,2021,prepared food,22700.26,25668.98,159.66,254.96,62.78
turkey,2021,grain cereal,13172.05,15745.14,185.89,1108.45,66.52
spain,2020,prepared food,19379.15,20880.68,140.06,1201.24,58.22
india,2020,dairy product,11867.51,12060.95,199.04,224.88,69.0
france,2018,frozen food,49030.39,42225.17,130.44,104.72,41.58
canada,2023,fruit vegetable,13989.15,13444.84,162.74,840.78,60.99
japan,2020,frozen food,2078.64,1750.63,50.75,1254.37,37.13
germany,2023,bakery item,44697.08,45781.16,134.39,324.89,36.02
australia,2021,meat seafood,42501.97,42933.07,103.2,886.57,67.2
indonesia,2022,frozen food,32192.22,26729.66,143.03,1010.28,67.53
japan,2019,prepared food,42830.73,49897.56,42.4,636.66,44.87
saudi arabia,2018,meat seafood,17813.93,16029.59,84.65,97.53,54.33
turkey,2023,bakery item,19131.17,15751.33,196.01,1328.66,62.45
india,2018,fruit vegetable,17506.76,19684.31,163.38,283.64,40.94
south africa,2020,grain cereal,16525.23,19370.05,140.2,129.37,67.57
russia,2021,meat seafood,38770.17,40514.9,188.97,359.88,55.69
south korea,2019,dairy product,27169.15,29606.45,61.48,75.55,54.86
south africa,2020,bakery item,4717.85,4016.09,49.43,1182.53,45.06
south korea,2022,frozen food,2278.7,2142.54,181.23,321.96,58.94
germany,2019,dairy product,38769.4,44053.91,86.18,316.94,32.09
india,2020,prepared food,1933.51,1944.29,110.81,40.73,57.51
saudi arabia,2024,meat seafood,2040.82,1756.33,147.04,815.25,38.84
spain,2022,fruit vegetable,10206.05,10741.59,139.67,1189.12,34.15
mexico,2023,prepared food,35339.45,37949.35,29.39,598.35,36.17
south africa,2024,dairy product,32550.33,33202.71,105.86,508.83,34.61
india,2020,bakery item,35233.49,34799.53,197.2,719.25,68.22
italy,2021,bakery item,13828.78,12321.19,84.65,1182.2,52.16
south korea,2022,grain cereal,8406.55,9188.41,171.68,1077.82,31.52
germany,2023,beverage,13552.15,11895.72,164.63,1135.79,56.47
brazil,2018,fruit vegetable,15855.89,14973.31,73.58,1095.38,46.14
turkey,2019,beverage,33531.92,35386.81,116.38,314.9,64.04
germany,2018,beverage,1167.46,1325.56,123.18,1231.22,61.69
russia,2018,frozen food,10412.69,9670.46,124.59,677.09,59.43
india,2018,prepared food,30279.93,32350.39,153.93,549.42,53.71
france,2022,fruit vegetable,29035.55,32125.02,22.31,769.02,39.7
india,2018,frozen food,1560.32,1255.34,145.83,47.12,57.35
usa,2019,prepared food,19560.53,19956.61,152.03,1029.46,43.71
italy,2020,prepared food,1933.59,1575.79,104.54,1186.52,30.74
germany,2021,beverage,49657.88,58327.91,57.09,1115.19,61.36
india,2022,bakery item,49277.74,41076.84,72.04,339.89,55.85
china,2018,meat seafood,7903.95,7073.12,155.86,228.39,42.08
indonesia,2018,grain cereal,32891.1,33496.87,64.56,441.14,51.23
india,2022,beverage,8007.28,9495.3,103.7,109.77,58.37
canada,2024,bakery item,16495.93,17457.0,49.11,843.34,54.05
japan,2024,beverage,49654.67,56043.32,88.07,920.95,31.05
france,2024,dairy product,24034.9,22397.06,113.47,22.76,47.6
south africa,2024,frozen food,22627.61,26111.76,100.98,1286.39,47.63
argentina,2021,prepared food,26617.35,29613.96,75.68,791.06,54.79
france,2019,fruit vegetable,34062.3,28634.02,24.72,502.45,30.92
south korea,2020,grain cereal,3247.52,2857.34,137.32,900.91,46.96
japan,2024,frozen food,45137.2,50353.69,97.62,196.99,60.8
spain,2020,frozen food,11323.81,12671.84,188.97,1119.12,67.87
saudi arabia,2024,grain cereal,28350.62,23792.23,60.18,168.27,68.28
china,2019,meat seafood,49187.0,55452.99,175.26,235.18,45.13
russia,2020,dairy product,17377.35,18151.61,61.61,292.61,30.97
indonesia,2023,beverage,29047.61,28857.37,171.48,1357.26,37.13
india,2022,meat seafood,45503.17,36840.95,166.32,497.53,49.41
usa,2023,meat seafood,49989.46,52758.97,67.79,1059.46,34.59
russia,2024,beverage,21130.61,20784.29,188.42,444.93,63.5
france,2021,prepared food,43821.83,37560.64,46.29,1239.57,69.6
indonesia,2019,prepared food,17252.61,17206.27,113.48,1356.95,51.55
saudi arabia,2023,fruit vegetable,15727.37,17797.31,172.36,1043.82,60.43
china,2024,dairy product,16317.89,18756.47,121.58,221.47,32.13
south korea,2019,bakery item,12450.31,13846.01,120.18,450.11,31.5
indonesia,2024,grain cereal,29252.27,23592.89,115.09,575.22,63.47
usa,2023,beverage,11413.81,10952.46,29.42,1282.89,42.5
japan,2021,frozen food,4236.48,4331.67,21.07,94.67,66.54
china,2020,beverage,4278.42,4869.17,40.45,122.79,69.42
south korea,2022,prepared food,779.44,887.93,75.86,527.12,69.74
italy,2022,grain cereal,35558.23,40005.64,102.15,629.49,36.12
france,2022,bakery item,18047.51,19246.75,25.15,1241.65,40.88
indonesia,2021,beverage,32676.12,26927.51,128.86,1204.96,32.63
japan,2024,prepared food,31800.86,26061.76,187.07,167.89,61.25
japan,2019,prepared food,7314.08,6494.05,165.19,1314.34,41.29
china,2022,bakery item,26894.67,27476.66,111.71,1164.74,53.72
south africa,2024,fruit vegetable,28859.11,24785.6,101.06,1001.72,47.8
south africa,2018,fruit vegetable,30611.58,27579.49,61.38,105.48,39.97
brazil,2019,fruit vegetable,34348.18,34042.67,176.92,661.67,57.18
italy,2022,bakery item,4785.15,4529.71,78.19,1007.65,44.04
russia,2024,meat seafood,15316.49,13959.37,33.17,544.98,46.42
germany,2022,fruit vegetable,4027.06,4161.64,39.1,1103.69,53.65
indonesia,2021,beverage,46712.35,52263.46,63.88,371.69,40.69
france,2021,meat seafood,43750.97,44631.77,88.69,1050.59,66.59
india,2020,dairy product,20766.62,23062.53,112.41,648.6,30.35
argentina,2020,meat seafood,36348.88,36244.23,132.11,818.44,35.86
italy,2019,bakery item,22786.26,24962.86,108.32,892.47,55.47
usa,2018,grain cereal,8233.73,6787.46,176.76,570.09,66.52
usa,2024,fruit vegetable,29599.16,24192.02,93.89,625.33,52.19
mexico,2022,dairy product,45255.38,52762.12,112.77,1315.81,67.33
uk,2024,beverage,47679.81,47791.63,23.65,1334.72,43.03
turkey,2022,grain cereal,34983.66,37743.95,96.33,612.0,33.22
france,2023,meat seafood,25448.39,22962.63,182.05,1084.4,45.56
canada,2021,dairy product,23915.05,23637.28,159.11,1363.38,49.64
italy,2020,meat seafood,39357.91,45100.55,129.41,137.72,62.79
spain,2020,grain cereal,24796.3,23564.7,171.51,1047.09,30.2
mexico,2020,frozen food,39254.69,46983.85,115.33,488.38,42.94
argentina,2022,dairy product,38141.73,37376.6,80.64,1046.48,60.19
brazil,2018,grain cereal,28752.18,24424.46,138.27,521.54,66.35
south korea,2019,bakery item,12616.35,12982.56,139.89,1218.15,46.52
usa,2024,beverage,46686.12,49178.7,37.56,293.07,69.09
india,2023,grain cereal,33660.2,27989.89,71.87,391.26,63.09
russia,2020,beverage,29908.73,26294.26,110.77,185.42,65.7
mexico,2018,meat seafood,34413.16,32543.86,182.52,1378.71,57.74
russia,2019,beverage,8680.91,10404.01,84.66,908.21,53.0
china,2023,prepared food,48007.8,50204.47,52.33,228.9,43.0
brazil,2018,frozen food,3563.36,3019.3,174.2,330.96,33.21
south korea,2018,prepared food,10118.17,9315.86,147.67,1218.28,69.27
turkey,2018,grain cereal,30969.61,26871.86,182.41,309.19,33.85
mexico,2019,beverage,11245.19,12817.32,190.24,212.29,30.93
germany,2021,dairy product,21773.82,22089.4,160.01,1007.4,40.36
spain,2020,fruit vegetable,2984.94,3563.83,50.14,222.68,57.48
japan,2023,beverage,23393.81,22134.34,121.65,366.94,60.17
china,2020,fruit vegetable,21768.21,24559.58,119.84,1149.95,52.42
usa,2019,fruit vegetable,14115.03,12633.9,76.4,1020.07,62.75
indonesia,2024,bakery item,39720.21,32793.5,80.34,70.16,57.59
brazil,2023,fruit vegetable,10079.68,11226.08,24.38,347.24,62.2
spain,2024,prepared food,26770.8,31303.22,142.51,1320.6,62.78
canada,2024,dairy product,18679.54,17280.66,33.13,864.28,64.96
china,2021,dairy product,44898.24,41345.89,193.89,639.83,56.31
indonesia,2019,beverage,44904.54,50060.19,121.06,190.31,31.5
south africa,2023,frozen food,13719.21,13662.63,192.54,843.3,54.05
south korea,2020,prepared food,22429.52,24304.86,130.67,1282.04,40.55
russia,2023,prepared food,36196.43,35330.42,165.71,1102.16,46.46
turkey,2024,dairy product,10186.86,9369.44,89.42,848.93,54.29
italy,2023,meat seafood,42665.31,36254.52,153.62,1173.1,45.1
italy,2024,grain cereal,8173.54,9680.5,115.17,1173.09,30.69
usa,2018,fruit vegetable,1922.19,1992.64,148.91,1176.35,41.55
germany,2018,fruit vegetable,32162.93,36128.03,156.94,112.58,63.84
argentina,2020,grain cereal,934.26,910.22,119.18,1364.54,62.13
spain,2021,meat seafood,27162.59,28086.44,38.67,348.6,37.48
spain,2024,frozen food,49613.22,46843.72,26.81,1153.46,64.52
indonesia,2018,bakery item,26859.4,29195.08,25.05,359.62,67.85
south korea,2021,frozen food,22320.32,20365.11,55.19,1067.05,52.08
south africa,2019,beverage,43418.37,41361.56,31.03,932.7,38.98
china,2020,dairy product,45780.62,37679.38,187.29,699.33,59.32
mexico,2021,grain cereal,9734.18,8780.23,108.76,58.47,37.92
uk,2018,bakery item,43243.64,49943.72,75.39,363.02,30.57
spain,2024,frozen food,44565.93,47755.8,72.83,1054.08,36.24
france,2021,fruit vegetable,25913.16,23194.87,38.13,334.68,61.31
india,2020,grain cereal,2481.46,2685.54,111.61,942.58,46.95
canada,2019,meat seafood,42435.87,40886.9,78.01,720.74,54.51
india,2022,meat seafood,25569.5,25134.78,169.4,548.21,41.9
mexico,2020,prepared food,7255.6,6461.96,199.92,1073.03,57.48
indonesia,2023,beverage,32493.37,35980.75,160.15,622.32,36.15
saudi arabia,2018,meat seafood,27104.73,31850.55,75.19,477.32,65.96
south africa,2022,prepared food,30807.18,32697.62,40.46,162.26,42.31
australia,2022,meat seafood,21556.95,17602.2,113.88,1306.53,58.27
australia,2021,meat seafood,8916.92,9679.04,80.47,245.57,42.76
south africa,2020,frozen food,6310.27,5512.32,172.04,552.69,35.53
argentina,2019,fruit vegetable,28520.18,33025.24,42.42,224.65,62.83
uk,2023,frozen food,17989.88,17023.51,180.2,15.55,47.83
australia,2024,prepared food,25202.25,29278.35,176.6,667.61,65.37
spain,2020,beverage,29670.36,33305.83,99.91,185.7,66.13
uk,2023,bakery item,7147.31,5759.76,194.18,879.39,63.85
brazil,2019,beverage,34055.32,38608.82,179.23,370.54,58.1
russia,2019,grain cereal,7185.99,7264.93,76.95,263.38,53.93
russia,2018,frozen food,48859.36,56724.15,187.14,1136.76,40.39
uk,2023,dairy product,35346.01,35164.24,90.3,1377.34,38.37
france,2018,dairy product,10007.19,9219.12,160.53,649.42,60.9
spain,2021,beverage,29697.38,30150.49,82.29,501.97,67.3
mexico,2022,prepared food,6200.24,5526.87,136.68,143.32,41.36
saudi arabia,2022,fruit vegetable,16504.06,19657.42,94.68,399.1,48.13
argentina,2021,dairy product,2843.54,2454.58,146.99,320.19,70.0
spain,2020,frozen food,48691.65,57588.73,185.46,882.71,67.93
italy,2020,meat seafood,33631.63,36002.75,113.46,120.13,69.01
brazil,2024,beverage,46185.83,39504.32,107.27,354.55,41.43
turkey,2018,frozen food,21066.64,24307.74,96.16,529.36,51.53
canada,2021,grain cereal,2674.74,2299.71,187.96,203.4,68.36
france,2019,grain cereal,27982.0,32084.97,178.54,1146.48,65.81
south korea,2021,dairy product,33623.86,33512.38,174.02,1153.75,66.49
germany,2021,dairy product,24941.91,20249.38,158.91,933.58,53.39
australia,2021,beverage,12405.33,13142.13,59.4,1239.9,42.12
turkey,2019,dairy product,45237.82,49190.19,33.78,226.82,45.35
argentina,2023,beverage,20826.12,20816.3,136.16,989.19,31.86
brazil,2021,frozen food,8944.2,9404.59,48.78,372.45,36.02
germany,2019,grain cereal,32296.3,37517.45,56.59,943.81,30.58
france,2018,beverage,48063.97,39293.84,86.51,1376.28,49.59
germany,2021,dairy product,33109.8,32144.58,58.24,861.14,66.56
canada,2018,beverage,6120.34,5373.61,83.65,134.84,41.75
indonesia,2023,dairy product,35731.26,35463.59,57.22,1027.36,69.06
south africa,2019,grain cereal,23127.16,21575.07,29.74,670.3,50.02
russia,2019,grain cereal,7977.2,9115.08,29.66,920.91,40.43
china,2024,frozen food,27479.16,26256.31,114.44,1205.01,31.89
france,2023,prepared food,8866.77,9231.98,29.46,138.08,61.23
russia,2024,dairy product,18881.04,15728.72,192.86,716.36,57.52
brazil,2021,grain cereal,10519.7,11552.04,86.94,1290.41,40.94
russia,2022,prepared food,31479.34,31546.7,150.02,1004.63,68.21
germany,2024,bakery item,24173.46,26831.34,149.3,1128.76,45.82
spain,2020,meat seafood,40293.17,33000.05,157.18,92.35,52.47
russia,2019,prepared food,36788.4,31170.63,173.62,1071.79,40.13
indonesia,2020,fruit vegetable,31399.46,29429.68,184.81,1186.48,36.39
saudi arabia,2024,dairy product,12250.67,14096.2,167.43,278.51,32.25
india,2020,prepared food,47406.66,53491.73,71.6,1360.3,56.77
spain,2021,prepared food,10710.2,10415.56,94.92,1374.43,59.31
mexico,2021,grain cereal,34105.56,30801.6,119.78,659.98,34.53
france,2022,meat seafood,24035.89,24015.47,63.73,272.6,52.7
brazil,2023,prepared food,10507.84,12067.43,24.39,348.6,41.0
mexico,2024,dairy product,35501.26,37451.09,113.41,839.1,36.13
india,2023,meat seafood,31682.22,34419.23,125.04,515.79,67.23
germany,2019,prepared food,18780.16,17208.3,174.68,708.17,42.37
mexico,2024,meat seafood,28795.12,30722.18,28.34,1105.68,47.06
italy,2018,grain cereal,6350.33,7015.94,36.53,34.01,32.75
south korea,2020,beverage,49280.34,44077.42,70.19,250.81,66.24
india,2019,beverage,16912.95,16797.06,184.47,285.97,44.24
france,2023,frozen food,49544.47,53191.19,22.54,791.14,64.93
south korea,2024,bakery item,6164.64,6301.18,141.44,1346.58,54.48
japan,2023,prepared food,17583.7,14602.34,83.05,685.5,44.63
south korea,2024,dairy product,39583.18,43098.3,112.77,991.16,63.82
usa,2024,meat seafood,19152.45,15679.6,136.23,179.83,47.56
south africa,2020,bakery item,24305.31,24948.0,122.76,131.83,41.26
japan,2023,bakery item,43549.61,39176.19,122.33,1110.61,38.38
usa,2021,bakery item,18752.86,18157.59,34.37,687.19,34.82
russia,2022,dairy product,39056.71,46470.62,94.79,1292.74,65.38
argentina,2019,grain cereal,13212.92,14761.67,84.85,1127.62,36.09
indonesia,2022,grain cereal,12214.35,12612.64,69.67,393.64,35.74
france,2024,meat seafood,19377.14,21240.56,42.61,624.77,33.3
argentina,2024,frozen food,28618.26,32690.25,167.11,956.93,59.78
mexico,2021,prepared food,24849.69,27043.72,132.5,882.12,31.9
france,2019,grain cereal,37869.32,35912.22,110.44,345.33,30.04
uk,2018,prepared food,16509.39,17572.51,24.01,893.33,62.24
australia,2018,dairy product,31983.92,26673.23,189.9,951.51,56.81
mexico,2020,grain cereal,41944.46,44101.79,197.72,1039.46,64.12
india,2018,bakery item,27317.9,27416.93,97.26,168.05,69.5
france,2021,fruit vegetable,16272.92,13871.08,68.44,834.8,47.68
spain,2019,prepared food,18165.75,20967.0,117.95,720.22,47.99
china,2018,dairy product,49651.71,45493.82,128.16,539.93,57.2
south africa,2021,prepared food,25968.3,28645.91,122.03,954.54,33.04
spain,2022,bakery item,4975.04,4138.17,69.22,234.27,30.36
uk,2023,bakery item,16276.69,16703.51,183.68,1011.68,55.11
india,2020,beverage,39838.37,40364.98,123.76,1347.18,37.25
india,2024,prepared food,16319.38,16600.71,155.21,123.64,69.59
india,2024,bakery item,13490.82,10997.21,48.18,45.98,42.32
russia,2018,beverage,11960.04,13749.13,109.81,877.79,36.53
china,2024,dairy product,9885.28,10090.0,193.59,155.89,34.05
turkey,2019,bakery item,8716.0,9644.63,72.92,179.8,65.89
italy,2020,grain cereal,22751.56,25813.94,111.67,510.56,42.3
south africa,2022,grain cereal,37858.74,34972.42,78.05,486.42,64.67
turkey,2022,grain cereal,29974.31,32496.03,65.29,1100.63,60.6
south africa,2023,grain cereal,20302.19,20223.89,185.02,232.09,40.56
uk,2022,frozen food,49337.57,42934.92,103.54,482.65,32.02
italy,2023,bakery item,47373.36,55692.26,129.24,1101.3,45.11
usa,2019,bakery item,41505.08,33845.07,112.04,280.11,67.47
south africa,2018,beverage,45114.16,44709.61,188.62,319.85,63.53
turkey,2022,beverage,3762.04,3618.29,27.4,996.2,39.89
uk,2021,dairy product,5891.72,4807.38,190.78,290.39,31.74
argentina,2018,frozen food,35181.49,38177.3,179.61,1179.74,50.88
germany,2023,beverage,21340.53,18787.62,120.91,1203.98,44.27
usa,2019,frozen food,34377.17,29072.21,140.08,984.11,58.6
south africa,2019,grain cereal,11916.64,13349.45,62.28,928.96,43.96
south korea,2024,meat seafood,6094.39,6039.23,81.14,1340.57,31.16
italy,2021,fruit vegetable,45815.53,37369.25,120.55,836.54,61.31
south korea,2024,prepared food,35196.99,41710.61,40.34,1186.18,56.37
indonesia,2019,fruit vegetable,15082.95,15797.78,101.96,1211.83,49.23
france,2022,meat seafood,21473.25,19444.45,80.0,1222.16,53.73
germany,2023,fruit vegetable,32504.2,30432.43,67.4,1350.33,33.03
china,2023,bakery item,12727.7,11221.47,130.86,459.11,55.8
usa,2023,bakery item,26305.75,30688.14,128.15,1090.64,51.16
china,2018,grain cereal,20388.48,17369.44,195.85,904.06,61.03
india,2021,beverage,28904.71,30930.87,107.79,760.37,65.85
south korea,2021,dairy product,40315.11,36359.56,142.45,784.4,47.67
usa,2023,meat seafood,28762.81,23387.04,76.73,769.09,37.91
indonesia,2021,fruit vegetable,15460.27,13647.73,140.85,206.21,32.25
brazil,2022,dairy product,14489.65,13756.34,141.69,282.11,39.79
mexico,2024,prepared food,39062.57,37034.2,50.69,263.79,62.12
usa,2018,frozen food,5427.23,4559.83,93.69,191.13,59.13
usa,2023,beverage,16197.32,17595.57,117.11,506.79,58.51
south korea,2019,prepared food,17168.32,16327.88,192.34,1355.95,54.98
russia,2022,prepared food,37844.67,39814.87,130.72,20.03,30.33
saudi arabia,2024,dairy product,39141.04,46408.66,102.53,1300.6,62.69
france,2018,prepared food,21876.97,22063.37,191.86,899.78,41.91
canada,2018,frozen food,14020.05,16743.69,135.14,1250.73,37.05
brazil,2023,prepared food,25835.42,24080.3,166.84,74.73,56.25
usa,2023,beverage,40308.13,39763.46,129.72,1150.25,48.03
france,2023,meat seafood,17363.94,20058.8,104.17,1356.41,50.52
south africa,2021,fruit vegetable,40699.85,42273.3,161.69,501.17,67.92
turkey,2018,prepared food,27946.26,23796.9,160.12,1154.92,65.17
france,2020,meat seafood,18719.0,19006.64,43.65,326.61,32.93
india,2019,meat seafood,30726.13,33026.33,185.18,938.83,67.15
usa,2018,prepared food,40760.26,41849.72,177.83,154.79,36.44
brazil,2022,dairy product,14117.53,12597.16,159.8,406.27,44.22
india,2024,frozen food,12982.7,13913.86,129.7,569.61,56.53
brazil,2024,prepared food,29507.41,30625.79,89.02,601.24,55.77
argentina,2019,bakery item,46860.24,47913.04,147.29,713.78,33.11
usa,2024,grain cereal,1901.13,2239.79,42.76,453.7,51.22
australia,2022,fruit vegetable,18067.07,16203.86,185.11,281.01,34.06
uk,2023,beverage,10674.94,10306.22,89.03,78.38,54.07
australia,2023,bakery item,19242.9,19706.14,75.46,1021.61,67.03
south africa,2020,dairy product,40875.35,48277.06,62.37,334.85,38.73
china,2018,prepared food,37736.87,33975.05,127.75,1241.3,53.56
japan,2020,dairy product,25834.28,29660.46,88.18,323.58,39.74
china,2023,fruit vegetable,29295.27,24527.98,90.56,1391.16,34.26
spain,2023,fruit vegetable,49990.76,42801.82,31.59,105.47,52.11
brazil,2021,beverage,25921.62,29082.33,34.54,1378.97,34.0
italy,2024,grain cereal,28002.27,22590.63,49.68,604.05,53.84
uk,2020,meat seafood,41774.54,47767.39,69.28,661.56,58.62
france,2018,bakery item,7294.75,5873.03,152.25,80.1,42.75
usa,2019,meat seafood,42159.48,36466.89,158.67,633.67,60.18
brazil,2019,bakery item,33836.15,33239.92,32.12,697.28,60.25
france,2020,fruit vegetable,10062.85,9142.6,127.62,256.67,46.14
russia,2024,bakery item,3942.39,3890.65,149.88,61.35,31.28
turkey,2024,meat seafood,41534.44,36355.89,61.84,1280.08,59.48
argentina,2024,fruit vegetable,40044.04,35715.51,111.75,130.39,40.56
indonesia,2020,frozen food,27026.05,24435.66,191.4,100.53,45.02
turkey,2024,beverage,18885.14,19560.38,115.2,294.63,35.49
mexico,2022,prepared food,15312.77,13090.17,28.72,992.86,49.73
china,2023,meat seafood,34012.71,31826.08,71.36,542.32,36.16
russia,2024,grain cereal,42466.49,40712.08,62.88,671.81,54.53
usa,2022,dairy product,12611.69,13049.41,137.25,638.69,42.76
china,2020,bakery item,30582.77,29572.31,185.0,605.16,34.83
france,2021,prepared food,32118.15,31259.27,148.47,854.64,54.71
argentina,2018,prepared food,37422.06,36503.07,183.55,1236.07,55.47
india,2020,fruit vegetable,8609.89,9939.09,155.97,1184.98,67.39
argentina,2018,grain cereal,9303.75,9591.51,73.05,1284.66,59.68
canada,2022,bakery item,17391.9,16126.72,114.09,221.61,48.85
south africa,2024,meat seafood,20928.26,24655.67,184.88,713.52,51.73
italy,2024,dairy product,39133.39,40211.56,89.79,263.09,60.78
turkey,2018,meat seafood,24565.36,29283.24,70.98,391.57,64.49
japan,2022,grain cereal,45691.23,42724.89,185.1,1376.12,41.51
